NO_OF_SAMPLES	10280
FREQUENCY	1200
TIME_STAMP	2022-04-11, 14:13:41.908	8519.26453246
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima OPT400600-HF-2000-CTT 10116M
FORCE_PLATE_CORNER_POSX_POSY_X	-400.000006
FORCE_PLATE_CORNER_POSX_POSY_Y	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Z	-35.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_Y	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Z	-35.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-35.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-400.000006
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	-35.000000
FORCE_PLATE_OFFSET_X	0.584200
FORCE_PLATE_OFFSET_Y	-0.787400
FORCE_PLATE_OFFSET_Z	-40.309800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
107	0.08833	-0.177139	-0.088455	0.000000	-0.274223	-0.218273	-0.018926	0.000000	0.000000	0.000000	
108	0.08917	0.442848	-0.353821	1.079819	-0.091408	0.072758	-0.018926	0.000000	0.000000	0.000000	
109	0.09000	0.354279	0.088455	-1.079819	0.045704	0.109137	0.056777	0.000000	0.000000	0.000000	
110	0.09083	-0.442848	0.000000	0.000000	0.045704	0.000000	-0.075703	0.000000	0.000000	0.000000	
111	0.09167	-0.442848	0.000000	0.000000	0.000000	-0.036379	-0.075703	0.000000	0.000000	0.000000	
112	0.09250	0.265709	-0.265366	0.000000	0.274223	-0.109137	-0.056777	0.000000	0.000000	0.000000	
113	0.09333	0.354279	0.442276	-1.079819	-0.137112	-0.218273	-0.056777	0.000000	0.000000	0.000000	
114	0.09417	0.442848	0.000000	0.359940	0.091408	-0.109137	-0.056777	0.000000	0.000000	0.000000	
115	0.09500	-0.265709	-0.088455	-0.359940	0.045704	0.000000	-0.037851	0.000000	0.000000	0.000000	
116	0.09583	0.177139	-0.176910	2.159637	-0.045704	0.000000	-0.113554	0.000000	0.000000	0.000000	
117	0.09667	-0.177139	-0.088455	-0.359940	0.091408	0.109137	-0.037851	0.000000	0.000000	0.000000	
118	0.09750	0.088570	0.000000	1.439758	-0.091408	0.000000	-0.018926	0.000000	0.000000	0.000000	
119	0.09833	0.354279	-0.088455	0.719879	-0.091408	0.000000	-0.132480	0.000000	0.000000	0.000000	
