t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
589220,0.085521,0.224798,-0.075747,-4.488935,-7.278966,17.558533
592223,0.992045,0.691499,0.278555,-0.272782,-7.15454,9.064013
595225,1.167974,0.894307,0.422719,0.143569,-4.393223,-1.071985
598227,1.001819,0.459371,0.51557,2.924029,1.234697,-17.984455
601229,0.332311,-0.667065,0.488692,-0.468993,2.306681,-13.9023
604230,0.207694,-0.527788,0.491136,-0.502493,2.07697,-1.258625
607233,0.300546,-0.400728,0.50091,0.468993,-2.981457,13.983656
610235,0.745256,-0.860098,0.386067,2.148755,-3.737589,6.642476
613237,0.945619,-0.816116,0.290772,1.732404,-2.694318,2.177469
616239,0.801455,-0.481362,0.200364,0.602991,0.210568,-12.949956
619241,0.320093,-0.11973,0.00733,-1.134198,-0.756132,-8.800802
622243,0.173486,-0.0562,-0.029322,-2.215754,-1.29691,-1.0002
625246,0.129503,0.185703,0.004887,-1.493121,-4.426722,9.159724
628249,0.400728,0.735482,0.168599,-0.282353,-4.833502,7.274181
631251,0.503353,0.703717,0.24679,-0.004786,-3.833302,1.095913
634254,0.400728,0.354302,0.32498,-0.51685,0.287139,-6.144769
637256,-0.029322,-0.449597,0.366519,-0.655633,0.234497,-3.737589
640257,-0.173486,-0.403171,0.38118,-0.205783,0.248854,1.402194
643258,-0.300546,-0.354302,0.356745,1.521835,-2.139183,7.556534
646260,-0.107512,-0.586431,0.266337,2.536392,-1.928615,7.278966
649261,-0.014661,-0.64263,0.229685,1.18684,-1.957329,2.569892
652263,-0.041539,-0.559553,0.193033,-0.043071,-1.143769,-0.976272
655266,-0.312763,-0.156382,0.158825,-1.057628,-1.091127,2.215754
658268,-0.412945,0.012217,0.175929,0.430708,-2.172683,4.910072
661270,-0.386067,0.017104,0.210138,1.29691,-2.871387,5.814559
664272,-0.24679,0.031765,0.237016,0.660419,-2.536392,3.771089
667273,-0.263894,0.175929,0.200364,-0.832702,-1.938186,1.397408
670275,-0.356745,0.359189,0.156382,-1.488336,-1.153341,2.330609
673277,-0.554666,0.364076,0.122173,-0.521635,-1.359123,5.594419
676278,-0.549779,0.122173,0.149051,0.579063,-1.349552,6.30748
679279,-0.496023,-0.117286,0.19792,1.272982,-1.598405,5.072784
682281,-0.386067,-0.305433,0.251676,0.51685,-1.584049,2.718246
685283,-0.43738,-0.351858,0.239459,0.387637,-1.028914,1.07677
688286,-0.583987,-0.356745,0.215025,-0.095713,-1.464407,3.455236
691287,-0.759916,-0.117286,0.202807,0.48335,-1.976472,6.192625
694288,-0.679282,-0.06353,0.19792,0.631705,-2.48375,7.34118
697289,-0.569326,-0.024435,0.185703,0.928415,-2.177469,4.675576
700291,-0.478918,0.117286,0.136834,-0.382852,-1.914258,2.708675
703292,-0.569326,0.195477,0.114843,-0.823131,-1.253839,2.512464
706293,-0.684169,0.175929,0.107512,-1.182054,-1.904687,4.895715
709295,-0.711047,0.061087,0.178373,-0.100499,-2.033899,5.800202
712296,-0.647517,-0.041539,0.215025,0.401994,-1.957329,4.766503
715298,-0.608422,-0.149051,0.232129,0.531207,-1.478764,2.632105
718299,-0.657291,-0.298102,0.227242,0.33021,-1.450051,2.9671
721302,-0.703717,-0.26145,0.217468,0.177069,-1.74676,3.881158
724304,-0.728151,-0.149051,0.205251,0.11007,-1.923829,4.599005
727306,-0.667065,0.026878,0.153938,0.162712,-1.718047,3.751946
730309,-0.664621,0.017104,0.13439,0.26321,-1.59362,3.22074
733315,-0.681726,-0.019548,0.136834,0.234497,-1.947758,3.249453
736323,-0.70616,0.004887,0.171042,-0.425922,-1.971686,4.07737
739324,-0.711047,-0.00733,0.171042,-0.617348,-2.057827,3.751946
742315,-0.696386,-0.041539,0.161268,-0.473779,-1.727618,2.579463
745316,-0.725708,-0.178373,0.166155,-0.052642,-1.574477,1.789831
748317,-0.759916,-0.244346,0.178373,-0.205783,-1.598405,2.919244
751319,-0.791681,-0.271224,0.195477,-0.358923,-1.933401,4.101298
754320,-0.747699,-0.232129,0.202807,0.177069,-2.029114,4.134798
757330,-0.725708,-0.217468,0.200364,0.397209,-1.823331,3.201597
760332,-0.725708,-0.193033,0.193033,0.37328,-1.569692,2.311467
763334,-0.791681,-0.136834,0.163712,-0.177069,-1.497907,3.04367
766337,-0.82589,-0.11973,0.144164,-0.22014,-1.756332,3.742374
769338,-0.818559,-0.090408,0.136834,0.047856,-1.952543,4.302295
772341,-0.755029,-0.13439,0.149051,0.162712,-1.871187,3.814159
775342,-0.759916,-0.171042,0.161268,-0.215354,-1.875973,3.795017
778346,-0.759916,-0.173486,0.175929,-0.732204,-1.751546,3.751946
781346,-0.784351,-0.188146,0.173486,-0.66999,-1.89033,3.59402
784348,-0.796568,-0.202807,0.171042,-0.291924,-1.866402,3.723232
787348,-0.796568,-0.229685,0.173486,0.339781,-1.904687,3.359523
791213,-0.786794,-0.302989,0.188146,0.26321,-1.607977,3.134598
794002,-0.811229,-0.329867,0.19059,-1.22034,-1.765903,3.905087
798418,-0.835664,-0.202807,0.180816,-0.440279,-1.78026,4.828716
801207,-0.816116,-0.136834,0.156382,0.229711,-1.933401,4.546363
804209,-0.759916,-0.161268,0.156382,0.521635,-1.765903,4.005585
807210,-0.772134,-0.19059,0.158825,0.248854,-1.713261,3.048456
810212,-0.801455,-0.200364,0.156382,-0.66999,-1.737189,3.349952
813214,-0.855211,-0.175929,0.149051,-0.851845,-1.885544,4.158726
816216,-0.845438,-0.180816,0.144164,-0.488136,-2.086541,4.493721
819219,-0.816116,-0.259007,0.173486,0.33021,-1.981257,4.22094
822221,-0.76236,-0.298102,0.188146,0.26321,-1.756332,3.014956
825224,-0.779464,-0.31765,0.193033,-0.062213,-1.521835,2.991028
828227,-0.823446,-0.249233,0.178373,-0.445065,-1.732404,4.063013
831229,-0.850324,-0.193033,0.158825,-0.311067,-1.986043,4.59422
834231,-0.813672,-0.168599,0.141721,0.253639,-2.048256,3.608377
837232,-0.779464,-0.280998,0.141721,0.315853,-1.679762,3.694518
840234,-0.803899,-0.312763,0.139277,-0.205783,-1.832902,3.565306
843237,-0.794125,-0.276111,0.146608,-0.502493,-1.919044,3.85723
846238,-0.779464,-0.215025,0.158825,-0.215354,-1.785046,3.637091
849239,-0.767247,-0.263894,0.158825,0.205783,-1.694118,2.555535
852242,-0.791681,-0.293215,0.171042,0.378066,-1.588834,2.632105
855243,-0.821003,-0.332311,0.161268,-0.090927,-1.78026,3.842873
858245,-0.838107,-0.295659,0.144164,-0.167498,-2.120041,5.130211
861246,-0.784351,-0.234572,0.13439,-0.090927,-2.210968,4.206582
864247,-0.713491,-0.234572,0.129503,0.143569,-1.588834,2.718246
867248,-0.735482,-0.256563,0.139277,0.124427,-1.416551,1.478764
870251,-0.811229,-0.273668,0.149051,-0.124427,-1.378266,3.192025
873252,-0.872316,-0.278555,0.131947,-0.071785,-2.18704,4.890929
876255,-0.811229,-0.224798,0.129503,0.200997,-2.426322,5.9677
879257,-0.715934,-0.222355,0.124617,0.37328,-2.287539,3.637091
882259,-0.654848,-0.315206,0.107512,0.043071,-1.359123,2.120041
885262,-0.76236,-0.26145,0.11973,-0.26321,-1.440479,2.143969
888264,-0.816116,-0.200364,0.124617,-0.378066,-1.689333,3.885944
891266,-0.830777,-0.25412,0.114843,0.555135,-2.009971,5.04407
894267,-0.767247,-0.273668,0.114843,0.545564,-2.215754,4.666004
897269,-0.701273,-0.283441,0.100182,0.248854,-1.919044,2.756532
900270,-0.693943,-0.251676,0.075747,-0.363709,-1.478764,2.440679
903274,-0.818559,-0.217468,0.080634,-0.583849,-1.713261,2.794817
906274,-0.845438,-0.205251,0.087965,-0.239282,-1.952543,4.599005
909277,-0.82589,-0.276111,0.11973,0.646062,-2.086541,4.943572
912279,-0.742812,-0.300546,0.117286,0.449851,-2.009971,4.579862
915281,-0.723264,-0.300546,0.097738,0.081356,-1.847259,3.168097
918282,-0.733038,-0.175929,0.0562,-0.555135,-1.564906,3.378666
921283,-0.796568,-0.175929,0.048869,-0.138784,-1.770689,4.110869
924285,-0.720821,-0.117286,0.053756,0.119641,-123.814217,156.796875
927286,7.66025,1.155757,1.199739,-5.316852,-98.412018,102.211815
930289,2.04762,-0.711047,0.757473,-17.027327,-27.105894,-74.880989
933290,1.260826,2.419026,0.268781,-23.196022,-93.267441,156.796875
936291,2.169793,-1.39766,0.918741,-9.987641,-38.036308,34.657646
939294,0.483805,-2.269975,1.580919,-8.398808,15.251852,-43.25745
942295,2.616947,-4.383569,1.343904,6.273981,-10.346565,126.982315
945295,5.781229,-1.263269,-1.226617,6.814759,-42.27639,119.353989
948298,6.746396,-0.737925,-1.441642,37.371105,-45.39185,105.432549
951301,7.508755,1.358564,-1.053132,33.12624,-39.26622,-73.105515
954302,5.199685,0.701273,-0.425162,-5.388636,-20.779272,-88.993858
957306,5.861863,2.296853,-1.126436,-20.243279,-29.857643,-78.173515
960308,6.091548,1.962099,-1.03114,-15.917057,-110.132057,109.54821
963308,9.705427,4.134336,1.062906,-68.712296,-114.448708,128.494568
966310,11.765265,2.360383,2.541199,-53.805008,-154.901764,4.833502
969314,3.76293,0.434936,5.236337,7.197611,101.005836,20.635704
972316,-5.600412,-1.275487,-2.54853,37.811382,1.067199,-156.796875
975320,-3.227812,-6.140418,-3.362202,35.452057,42.252464,29.278578
978321,-7.535633,-3.765373,-2.116037,31.384262,-46.540401,126.704742
981330,3.794695,-2.822197,0.906524,48.186661,-69.497139,41.979679
984332,8.420166,1.813048,0.014661,44.5065,-10.705488,52.938808
987334,3.010344,0.478918,-0.708604,26.14398,-12.069398,-138.989502
990337,-2.448348,-0.283441,-1.8497,-41.6064,-2.995814,-49.340004
993338,-4.329813,-0.256563,-1.216843,-70.91848,-5.072784,-89.185287
996341,-4.302935,3.391524,0.200364,-64.041504,-39.591644,109.701347
999342,3.569896,0.610865,2.93704,-44.214573,-21.616762,138.233353
1002346,5.940054,0.818559,3.18383,-33.485161,1.019342,62.069817
1005347,7.02495,0.061087,2.719572,12.595819,16.352551,-106.030754
1008349,2.062281,-3.885103,1.231504,68.755363,31.743185,-110.213409
1011349,-1.2706,-6.040236,-0.26145,57.973305,26.464619,-54.795639
1014351,-3.161838,-2.973692,-1.536937,40.898125,-2.742175,92.573524
1017351,0.087965,1.78617,-1.558928,-14.983855,-21.750757,87.467232
1020353,3.376863,3.606548,-1.123992,-29.426931,-7.302895,65.845695
1023355,3.589444,2.416583,-1.172861,-21.095125,6.250053,-83.696152
1026356,2.240654,-0.109956,0.569326,-1.789831,9.111869,-61.624752
1029359,-0.293215,-0.156382,1.036027,-10.025927,-1.679762,-62.921665
1032358,-1.448972,0.244346,0.899194,-8.087741,-8.85823,72.933235
1035361,-1.480737,0.684169,0.882089,-3.393023,-21.305691,104.025574
1038363,2.116037,0.021991,0.847881,-0.124427,-34.69593,67.161751
1041366,4.134336,1.544267,0.928515,1.18684,8.896515,-28.460232
1044367,2.853962,1.309695,0.601091,0.799203,16.390837,-60.251274
1047369,0.659734,-0.720821,0.048869,3.847659,12.198609,-67.597244
1050370,-0.581544,-2.87351,-0.092852,-1.306481,14.634504,15.218351
1053372,-1.988977,-0.542448,0.503353,0.526421,-0.004786,56.56633
1056374,-0.654848,-0.581544,0.332311,3.957729,-5.225925,70.841904
1059376,1.170418,-1.346347,0.068417,8.082954,-6.580262,9.322437
1062379,1.756848,-2.455678,-0.454484,1.775474,-3.919443,-42.491745
1065378,1.141096,-2.155133,-0.76236,-1.062413,1.584049,-43.602016
1068380,-0.07086,-2.098933,-0.945619,-2.603391,0.512064,-2.775674
1071382,-1.573589,-1.114218,-0.50091,4.130012,-8.470592,46.449474
1074383,-1.148427,0.227242,0.087965,0.540778,-12.366108,53.441299
1077385,0.293215,1.974316,0.532674,-0.119641,-6.398408,27.263821
1080386,1.661554,4.454429,0.974941,-6.853044,-2.45025,-8.551949
1083389,1.123992,3.557679,1.048245,-6.853044,5.460421,-35.562134
1086390,0.219911,1.280374,0.918741,-9.059227,11.916257,-15.677773
1089392,-1.663997,-1.209513,0.474031,-5.675776,5.608777,6.206983
1092394,-1.800831,-0.908967,0.408058,3.091527,-1.009771,31.374691
1095396,-1.055575,-0.789238,0.439823,17.36232,-7.829316,29.637503
1098917,0.625526,-2.081829,0.302989,15.151354,-6.441479,10.121639
1101708,0.610865,-1.615128,-0.234572,3.938586,-0.210568,-15.103498
1106202,0.112399,-0.955393,-0.977384,-5.45085,7.379465,-14.060225
1108991,-1.353677,0.51557,-0.899194,-4.106084,-0.531207,17.496321
1111992,-1.390329,1.094671,-0.193033,-1.512264,-4.680361,27.45046
1114993,-0.811229,1.121549,0.171042,-0.014357,-5.661418,33.250664
1117995,-0.337198,1.216843,0.466701,-1.086341,-5.426922,-1.536192
1120997,-0.090408,1.605354,0.593761,-2.464607,-0.339781,-16.663618
1123999,-0.510683,1.021367,0.603535,-1.976472,1.301696,-19.798214
1127000,-1.065349,0.491136,0.618196,-1.488336,2.282753,3.125026
1130002,-1.744631,-1.028697,0.359189,-0.177069,-1.287339,15.49592
